Fecha,Año,Mes,Dia,Mes_Nombre,Dia_Semana,Trimestre,Semana_Año
2024-10-20,2024,10,20,October,Sunday,4,42
2024-10-21,2024,10,21,October,Monday,4,43
2024-10-22,2024,10,22,October,Tuesday,4,43
2024-10-23,2024,10,23,October,Wednesday,4,43
2024-10-24,2024,10,24,October,Thursday,4,43
2024-10-25,2024,10,25,October,Friday,4,43
2024-10-26,2024,10,26,October,Saturday,4,43
2024-10-27,2024,10,27,October,Sunday,4,43
2024-10-28,2024,10,28,October,Monday,4,44
2024-10-29,2024,10,29,October,Tuesday,4,44
2024-10-30,2024,10,30,October,Wednesday,4,44
2024-10-31,2024,10,31,October,Thursday,4,44
2024-11-01,2024,11,1,November,Friday,4,44
2024-11-02,2024,11,2,November,Saturday,4,44
2024-11-03,2024,11,3,November,Sunday,4,44
2024-11-04,2024,11,4,November,Monday,4,45
2024-11-05,2024,11,5,November,Tuesday,4,45
2024-11-06,2024,11,6,November,Wednesday,4,45
2024-11-07,2024,11,7,November,Thursday,4,45
2024-11-08,2024,11,8,November,Friday,4,45
2024-11-09,2024,11,9,November,Saturday,4,45
2024-11-10,2024,11,10,November,Sunday,4,45
2024-11-11,2024,11,11,November,Monday,4,46
2024-11-12,2024,11,12,November,Tuesday,4,46
2024-11-13,2024,11,13,November,Wednesday,4,46
2024-11-14,2024,11,14,November,Thursday,4,46
2024-11-15,2024,11,15,November,Friday,4,46
2024-11-16,2024,11,16,November,Saturday,4,46
2024-11-17,2024,11,17,November,Sunday,4,46
2024-11-18,2024,11,18,November,Monday,4,47
2024-11-19,2024,11,19,November,Tuesday,4,47
2024-11-20,2024,11,20,November,Wednesday,4,47
2024-11-21,2024,11,21,November,Thursday,4,47
2024-11-22,2024,11,22,November,Friday,4,47
2024-11-23,2024,11,23,November,Saturday,4,47
2024-11-24,2024,11,24,November,Sunday,4,47
2024-11-25,2024,11,25,November,Monday,4,48
2024-11-26,2024,11,26,November,Tuesday,4,48
2024-11-27,2024,11,27,November,Wednesday,4,48
2024-11-28,2024,11,28,November,Thursday,4,48
2024-11-29,2024,11,29,November,Friday,4,48
2024-11-30,2024,11,30,November,Saturday,4,48
2024-12-01,2024,12,1,December,Sunday,4,48
2024-12-02,2024,12,2,December,Monday,4,49
2024-12-03,2024,12,3,December,Tuesday,4,49
2024-12-04,2024,12,4,December,Wednesday,4,49
2024-12-05,2024,12,5,December,Thursday,4,49
2024-12-06,2024,12,6,December,Friday,4,49
2024-12-07,2024,12,7,December,Saturday,4,49
2024-12-08,2024,12,8,December,Sunday,4,49
2024-12-09,2024,12,9,December,Monday,4,50
2024-12-10,2024,12,10,December,Tuesday,4,50
2024-12-11,2024,12,11,December,Wednesday,4,50
2024-12-12,2024,12,12,December,Thursday,4,50
2024-12-13,2024,12,13,December,Friday,4,50
2024-12-14,2024,12,14,December,Saturday,4,50
2024-12-15,2024,12,15,December,Sunday,4,50
2024-12-16,2024,12,16,December,Monday,4,51
2024-12-17,2024,12,17,December,Tuesday,4,51
2024-12-18,2024,12,18,December,Wednesday,4,51
2024-12-19,2024,12,19,December,Thursday,4,51
2024-12-20,2024,12,20,December,Friday,4,51
2024-12-21,2024,12,21,December,Saturday,4,51
2024-12-22,2024,12,22,December,Sunday,4,51
2024-12-23,2024,12,23,December,Monday,4,52
2024-12-24,2024,12,24,December,Tuesday,4,52
2024-12-25,2024,12,25,December,Wednesday,4,52
2024-12-26,2024,12,26,December,Thursday,4,52
2024-12-27,2024,12,27,December,Friday,4,52
2024-12-28,2024,12,28,December,Saturday,4,52
2024-12-29,2024,12,29,December,Sunday,4,52
2024-12-30,2024,12,30,December,Monday,4,1
2024-12-31,2024,12,31,December,Tuesday,4,1
